#,Prompt,Test Cases
1,"Write a function named capital_indexes. The function takes a single parameter, which is a string. Your function should return a list of all the indexes in the string that have capital letters.","Test Case 1:
Input: ""Hello World""
Output: [0, 6]

Test Case 2:
Input: ""wElcOmE To ChatGPT""
Output: [1, 4, 7, 9, 14]

Test Case 3:
Input: ""allsmallletters""
Output: []

Test Case 4:
Input: ""CAPSLOCKON""
Output: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]

Test Case 5:
Input: ""First, Second, Third.""
Output: [0, 7, 15]"
2,"Write a function named mid that takes a string as its parameter. Your function should extract and return the middle letter. If the length of the string is even, you should return the middle two letters.","Test Case 1:
Input: ""hello""
Output: ""l""

Test Case 2:
Input: ""abcdef""
Output: ""cd""

Test Case 3:
Input: ""a""
Output: ""a""

Test Case 4:
Input: ""ChatGPT""
Output: ""tG""

Test Case 5:
Input: ""programming""
Output: ""g"""
3,"The aim of this challenge is, given a dictionary of people's online status, to count the number of people who are online.","Test Case 1:
Input: {""Alice"": ""online"", ""Bob"": ""offline"", ""Charlie"": ""online"", ""David"": ""offline""}
Output: 2

Test Case 2:
Input: {""Eva"": ""online"", ""Frank"": ""online"", ""Grace"": ""online""}
Output: 3

Test Case 3:
Input: {""Henry"": ""offline"", ""Isabelle"": ""offline"", ""Jack"": ""offline""}
Output: 0

Test Case 4:
Input: {}
Output: 0

Test Case 5:
Input: {""Katie"": ""online"", ""Liam"": ""offline"", ""Mia"": ""online"", ""Nina"": ""offline"", ""Oscar"": ""online"", ""Paul"": ""online""}
Output: 4"
4,"Define a function, random_number, that takes no parameters. The function must generate a random integer between 1 and 100.","Test Case 1:
Input:
Output: (Any number between 1 and 100, e.g., 57)

Test Case 2:
Input:
Output: (Any number between 1 and 100, e.g., 23)

Test Case 3:
Input:
Output: (Any number between 1 and 100, e.g., 89)

Test Case 4:
Input:
Output: (Any number between 1 and 100, e.g., 1)

Test Case 5:
Input:
Output: (Any number between 1 and 100, e.g., 100)

"
5,"Write a function named only_ints that takes two parameters. Your function should return True if both parameters are integers, and False otherwise.","Test Case 1:
Input: (5, 10)
Output: True

Test Case 2:
Input: (5, ""10"")
Output: False

Test Case 3:
Input: (""Hello"", ""World"")
Output: False

Test Case 4:
Input: (7.5, 10)
Output: False

Test Case 5:
Input: (-5, 0)
Output: True"
6,"Write a function named add_dots that takes a string and adds ""."" in between each letter. For example, calling add_dots(""test"") should return the string ""t.e.s.t"". Then, below the add_dots function, write another function named remove_dots that removes all dots from a string.","Test Case 1:
Input: ""test""
Output: ""t.e.s.t""

Test Case 2:
Input: ""hello""
Output: ""h.e.l.l.o""

Test Case 3:
Input: ""a""
Output: ""a""

Test Case 4:
Input: ""ab""
Output: ""a.b""

Test Case 5:
Input: ""dot""
Output: ""d.o.t""

For the remove_dots function:

Test Case 1:
Input: ""t.e.s.t""
Output: ""test""

Test Case 2:
Input: ""h.e.l.l.o""
Output: ""hello""

Test Case 3:
Input: ""a""
Output: ""a""

Test Case 4:
Input: ""..a.b..""
Output: ""ab""

Test Case 5:
Input: ""n.o.d.o.t.s""
Output: ""nodots"""
7,The goal of this challenge is to analyze a binary string consisting of only zeros and ones. Your code should find the biggest number of consecutive zeros in the string.,"Test Case 1:
Input: ""10000101111000""
Output: 4

Test Case 2:
Input: ""11001110001111""
Output: 3

Test Case 3:
Input: ""1111111""
Output: 0

Test Case 4:
Input: ""10000001""
Output: 6

Test Case 5:
Input: ""00110001001100010000""
Output: 5"
8,"Write a function called longest_word that takes one argument, a list of words, and returns the length of the longest word in the list.","Test Case 1:
Input: [""apple"", ""banana"", ""cherry""]
Output: 6

Test Case 2:
Input: [""a"", ""ab"", ""abc"", ""abcd""]
Output: 4

Test Case 3:
Input: [""short"", ""longer"", ""longest""]
Output: 7

Test Case 4:
Input: [""one"", ""two"", ""three"", ""four"", ""five""]
Output: 5

Test Case 5:
Input: [""hippopotamus"", ""cat"", ""horse""]
Output: 12"
9,Write a function that counts how many different countries are represented in a list of country IDs.,"Test Case 1:
Input: [""US"", ""CA"", ""US"", ""MX"", ""CA""]
Output: 3

Test Case 2:
Input: [""FR"", ""FR"", ""FR"", ""FR""]
Output: 1

Test Case 3:
Input: [""JP"", ""CN"", ""AU"", ""NZ"", ""IN"", ""SA"", ""ZA""]
Output: 7

Test Case 4:
Input: []
Output: 0

Test Case 5:
Input: [""BR"", ""AR"", ""VE"", ""CO"", ""PE"", ""BR"", ""AR""]
Output: 5"
10,"A palindrome is a word that is the same forwards as backwards. If the word is the same backwards as forwards, you should return True. Otherwise, you should return False.","Test Case 1:
Input: ""radar""
Output: True

Test Case 2:
Input: ""apple""
Output: False

Test Case 3:
Input: ""level""
Output: True

Test Case 4:
Input: ""deified""
Output: True

Test Case 5:
Input: ""palindrome""
Output: False"
11,"Print Hello, World! to stdout.","Test Case 1:
Input: (no input since the function doesn't take any parameters)
Output: ""Hello, World!""

Test Case 2:
Input: (no input since the function doesn't take any parameters)
Output: ""Hello, World!""

Test Case 3:
Input: (no input since the function doesn't take any parameters)
Output: ""Hello, World!""

Test Case 4:
Input: (no input since the function doesn't take any parameters)
Output: ""Hello, World!""

Test Case 5:
Input: (no input since the function doesn't take any parameters)
Output: ""Hello, World!"""
12,"Given an integer, n, perform the following conditional actions: If n is odd, print Weird. If n is even and in the inclusive range of 2 to 5, print Not Weird. If n is even and in the inclusive range of 6 to 20, print Weird. If n is even and greater than 20, print Not Weird.","Test Case 1:
Input: 3
Output: ""Weird""

Test Case 2:
Input: 4
Output: ""Not Weird""

Test Case 3:
Input: 8
Output: ""Weird""

Test Case 4:
Input: 22
Output: ""Not Weird""

Test Case 5:
Input: 18
Output: ""Weird"""
13,Read two integers from STDIN and print three lines where: The first line contains the sum of the two numbers. The second line contains the difference of the two numbers (first - second). The third line contains the product of the two numbers.,"Test Case 1:
Input:
3 2
Output:
5
1
6

Test Case 2:
Input:
-5 4
Output:
-1
-9
-20

Test Case 3:
Input:
7 0
Output:
7
7
0

Test Case 4:
Input:
-3 -7
Output:
-10
4
21

Test Case 5:
Input:
10 5
Output:
15
5
50"
14,"Read two integers and print two lines. The first line should contain integer division, a//b. The second line should contain float division, a/b.","Test Case 1:
Input:
4 3
Output:
1
1.3333333333333333

Test Case 2:
Input:
10 2
Output:
5
5.0

Test Case 3:
Input:
5 4
Output:
1
1.25

Test Case 4:
Input:
22 7
Output:
3
3.142857142857143

Test Case 5:
Input:
9 4
Output:
2
2.25"
15,"Read an integer N. For all non-negative integers i<N, print i^2.","Test Case 1:
Input:
3
Output:
0
1
4

Test Case 2:
Input:
5
Output:
0
1
4
9
16

Test Case 3:
Input:
0
Output:
(No output as the range is empty for i<N)

Test Case 4:
Input:
1
Output:
0

Test Case 5:
Input:
4
Output:
0
1
4
9"
16,Write a function to check if the given year is leap or not.,"Test Case 1:
Input: 2000
Output: True

Test Case 2:
Input: 1900
Output: False

Test Case 3:
Input: 2004
Output: True

Test Case 4:
Input: 2100
Output: False

Test Case 5:
Input: 2023
Output: False"
17,"Without using any string methods, try to print the following: 123...N","Test Case 1:
Input: 5
Output: 12345

Test Case 2:
Input: 3
Output: 123

Test Case 3:
Input: 1
Output: 1

Test Case 4:
Input: 10
Output: 12345678910

Test Case 5:
Input: 7
Output: 1234567"
18,Take a list of integers (positive or negative or both) and return the sum of the absolute value of each element.,"Test Case 1:
Input: [2, -3, 4, -1]
Output: 10

Test Case 2:
Input: [-5, -4, -3, -2, -1]
Output: 15

Test Case 3:
Input: [5, 4, 3, 2, 1]
Output: 15

Test Case 4:
Input: [0, -1, 1, 0]
Output: 2

Test Case 5:
Input: [-10, 20, -30, 40]
Output: 100"
19,Create a function that takes a number as an argument. Add up all the numbers from 1 to the number you passed to the function.,"Test Case 1:
Input: 4
Output: 10 (1 + 2 + 3 + 4)

Test Case 2:
Input: 5
Output: 15 (1 + 2 + 3 + 4 + 5)

Test Case 3:
Input: 1
Output: 1

Test Case 4:
Input: 10
Output: 55 (1 + 2 + 3 + ... + 10)

Test Case 5:
Input: 100
Output: 5050 (1 + 2 + 3 + ... + 100)

"
20,"Create a function that takes a number as an argument, increments the number by +1 and returns the result.","Test Case 1:
Input: 5
Output: 6

Test Case 2:
Input: -1
Output: 0

Test Case 3:
Input: 0
Output: 1

Test Case 4:
Input: 99
Output: 100

Test Case 5:
Input: -101
Output: -100"
