gpt3.5-turbo,falcon-7b,llama2-7b,mpt-7b,codellama,StarCoder,WizardCoder,Mistral,Sum,Unnamed: 9,Unnamed: 10,Unnamed: 11,wrong,partial,correct,Unnamed: 15,Unnamed: 16,Unnamed: 17,wrong.1,partial.1,correct.1
1.0,0,1,0,1,1,1,1,6,,,,2.0,0.0,6.0,,,one model,1.0,11.0,12.0
0.0,1,1,0,0,0,0,0,2,,,,6.0,0.0,2.0,,,two models,2.0,5.0,13.0
1.0,1,0,0,0,0,0,0,2,,,,6.0,0.0,2.0,,,three models,4.0,2.0,8.0
1.0,0,0,0,1,1,1,1,5,,,,3.0,0.0,5.0,,,four models,10.0,0.0,5.0
0.0,0,0,0,1,0,0,0,1,,,,7.0,0.0,1.0,,,five models,9.0,0.0,2.0
1.0,0,0,0,1,0,0,1,3,,,,5.0,0.0,3.0,,,six models,12.0,0.0,3.0
1.0,0,0,0,1,1,1,0,4,,,,4.0,0.0,4.0,,,seven models,7.0,0.0,0.0
0.0,0,1,0,0,0,2,2,5,,,,5.0,2.0,1.0,,,all models,5.0,0.0,0.0
1.0,1,0,0,2,0,0,1,5,,,,4.0,1.0,3.0,,,,,,
1.0,1,0,0,0,0,0,0,2,,,,6.0,0.0,2.0,,,,,,
1.0,0,1,1,0,0,0,0,3,,,,5.0,0.0,3.0,,,,,,
0.0,0,0,0,2,0,0,1,3,,,,6.0,1.0,1.0,,,,,,
0.0,0,0,0,0,0,0,0,0,,,,8.0,0.0,0.0,,,,,,
0.0,0,0,0,0,0,0,0,0,,,,8.0,0.0,0.0,,,,,,
1.0,0,0,0,1,1,0,1,4,,,,4.0,0.0,4.0,,,,,,
1.0,0,2,0,0,0,0,0,3,,,,6.0,1.0,1.0,,,,,,
0.0,0,2,0,0,0,0,0,2,,,,7.0,1.0,0.0,,,,,,
1.0,0,0,1,1,0,0,1,4,,,,4.0,0.0,4.0,,,,,,
1.0,0,0,1,0,0,0,0,2,,,,6.0,0.0,2.0,,,,,,
1.0,1,0,0,1,1,0,1,5,,,,3.0,0.0,5.0,,,,,,
1.0,1,0,0,0,0,0,0,2,,,,6.0,0.0,2.0,,,,,,
1.0,0,1,1,1,1,0,1,6,,,,2.0,0.0,6.0,,,,,,
0.0,0,0,0,0,0,0,0,0,,,,8.0,0.0,0.0,,,,,,
1.0,1,0,0,0,0,0,1,3,,,,5.0,0.0,3.0,,,,,,
0.0,0,0,1,0,0,0,0,1,,,,7.0,0.0,1.0,,,,,,
1.0,0,0,0,0,0,0,0,1,,,,7.0,0.0,1.0,,,,,,
0.0,0,0,0,1,1,0,1,3,,,,5.0,0.0,3.0,,,,,,
1.0,2,2,1,0,0,2,0,8,,,,3.0,3.0,2.0,,,,,,
0.0,0,1,2,0,0,0,0,3,,,,6.0,1.0,1.0,,,,,,
1.0,0,1,0,0,0,2,2,6,,,,4.0,2.0,2.0,,,,,,
0.0,0,1,0,0,0,0,0,1,,,,7.0,0.0,1.0,,,,,,
0.0,0,2,0,1,1,0,1,5,,,,4.0,1.0,3.0,,,,,,
0.0,0,0,0,0,0,0,0,0,,,,8.0,0.0,0.0,,,,,,
0.0,0,1,0,0,0,0,0,1,,,,7.0,0.0,1.0,,,,,,
1.0,1,0,0,0,0,0,0,2,,,,6.0,0.0,2.0,,,,,,
0.0,1,2,0,1,0,0,1,5,,,,4.0,1.0,3.0,,,,,,
0.0,0,0,0,0,0,0,0,0,,,,8.0,0.0,0.0,,,,,,
1.0,1,0,0,0,0,0,0,2,,,,6.0,0.0,2.0,,,,,,
1.0,0,1,2,0,0,0,0,4,,,,5.0,1.0,2.0,,,,,,
0.0,0,0,0,1,1,1,1,4,,,,4.0,0.0,4.0,,,,,,
1.0,0,0,1,0,0,2,0,4,,,,5.0,1.0,2.0,,,,,,
1.0,1,2,0,0,0,2,0,6,,,,4.0,2.0,2.0,,,,,,
2.0,1,0,1,0,0,1,1,6,,,,3.0,1.0,4.0,,,,,,
2.0,0,0,0,2,1,0,2,7,,,,4.0,3.0,1.0,,,,,,
0.0,0,0,0,0,2,2,0,4,,,,6.0,2.0,0.0,,,,,,
0.0,0,0,0,1,0,1,1,3,,,,5.0,0.0,3.0,,,,,,
1.0,0,0,0,2,2,0,0,5,,,,5.0,2.0,1.0,,,,,,
0.0,0,1,0,0,0,0,0,1,,,,7.0,0.0,1.0,,,,,,
1.0,0,1,2,1,1,1,1,8,,,,1.0,1.0,6.0,,,,,,
1.0,1,0,0,0,0,0,0,2,,,,6.0,0.0,2.0,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,gpt3.5-turbo,falcon,llama,mpt,codellama,Starcoder,Wizardcoder,mistral,,,,,,,,,,,
0.0,Wrong,21,36,32,39,31,37,37,30,,,,,,,,,,,
2.0,Partially Correct,2,1,6,3,4,2,6,3,,,,,,,,,,,
1.0,Correct,27,13,12,8,15,11,7,17,,,,,,,,,,,
