#,Prompt,Test Cases
1,"implement a program that prompts the user for the answer to the Great Question of Life, the Universe and Everything, outputting Yes if the user inputs 42 or (case-insensitively) forty-two or forty two. Otherwise output No","Test Case 1:
Input: 42
Output: Yes

Test Case 2:
Input: Forty-Two
Output: Yes

Test Case 3:
Input: forty two
Output: Yes

Test Case 4:
Input: 50
Output: No

Test Case 5:
Input: FourTY TwO
Output: Yes"
2,"implement a program that prompts the user for a greeting. If the greeting starts with “hello”, output $0. If the greeting starts with an “h” (but not “hello”), output $20. Otherwise, output $100. Ignore any leading whitespace in the user’s greeting, and treat the user’s greeting case-insensitively.","Test Case 1:
Input: hello world
Output: $0

Test Case 2:
Input: Hola!
Output: $20

Test Case 3:
Input: hi there
Output: $20

Test Case 4:
Input: Hello Universe
Output: $0

Test Case 5:
Input: Greetings
Output: $100"
3,"implement a program that prompts the user for the name of a file and then outputs that file’s media type if the file’s name ends, case-insensitively, in any of these suffixes:

.gif
.jpg
.jpeg
.png
.pdf
.txt
.zip
If the file’s name ends with some other suffix or has no suffix at all, output application/octet-stream instead, which is a common default.
","Test Case 1:
Input: image.gif
Output: image/gif

Test Case 2:
Input: picture.JPG
Output: image/jpeg

Test Case 3:
Input: data.txt
Output: text/plain

Test Case 4:
Input: document.PDF
Output: application/pdf

Test Case 5:
Input: report.zip
Output: application/zip

Test Case 6:
Input: presentation.docx
Output: application/octet-stream"
4,"implement a program that prompts the user for an arithmetic expression and then calculates and outputs the result as a floating-point value formatted to one decimal place. Assume that the user’s input will be formatted as x y z, with one space between x and y and one space between y and z, wherein:

x is an integer
y is +, -, *, or /
z is an integer
For instance, if the user inputs 1 + 1, your program should output 2.0. Assume that, if y is /, then z will not be 0.","Test Case 1:
Input: 2 + 3
Output: 5.0

Test Case 2:
Input: 10 - 5
Output: 5.0

Test Case 3:
Input: 5 * 3
Output: 15.0

Test Case 4:
Input: 10 / 2
Output: 5.0

Test Case 5:
Input: -2 + 8
Output: 6.0"
5,"Suppose that you’re in a country where it’s customary to eat breakfast between 7:00 and 8:00, lunch between 12:00 and 13:00, and dinner between 18:00 and 19:00. Wouldn’t it be nice if you had a program that could tell you what to eat when?

Implement a program that prompts the user for a time and outputs whether it’s breakfast time, lunch time, or dinner time. If it’s not time for a meal, don’t output anything at all. Assume that the user’s input will be formatted in 24-hour time as #:## or ##:##. And assume that each meal’s time range is inclusive. For instance, whether it’s 7:00, 7:01, 7:59, or 8:00, or anytime in between, it’s time for breakfast.

Structure your program per the below, wherein convert is a function (that can be called by main) that converts time, a str in 24-hour format, to the corresponding number of hours as a float. For instance, given a time like ""7:30"" (i.e., 7 hours and 30 minutes), convert should return 7.5 (i.e., 7.5 hours).
","Test Case 1:
Input: 7:30
Output: It's breakfast time!

Test Case 2:
Input: 12:15
Output: It's lunch time!

Test Case 3:
Input: 19:00
Output: It's dinner time!

Test Case 4:
Input: 6:45
Output: (No output)

Test Case 5:
Input: 13:15
Output: (No output)"
6,"In some languages, it’s common to use camel case (otherwise known as “mixed case”) for variables’ names when those names comprise multiple words, whereby the first letter of the first word is lowercase but the first letter of each subsequent word is uppercase. For instance, whereas a variable for a user’s name might be called name, a variable for a user’s first name might be called firstName, and a variable for a user’s preferred first name (e.g., nickname) might be called preferredFirstName.

Python, by contrast, recommends snake case, whereby words are instead separated by underscores (_), with all letters in lowercase. For instance, those same variables would be called name, first_name, and preferred_first_name, respectively, in Python.

Implement a program that prompts the user for the name of a variable in camel case and outputs the corresponding name in snake case. Assume that the user’s input will indeed be in camel case.","Test Case 1:
Input: name
Expected Output: name

Test Case 2:
Input: firstName
Expected Output: first_name

Test Case 3:
Input: preferredFirstName
Expected Output: preferred_first_name

Test Case 4:
Input: someVariableName
Expected Output: some_variable_name

Test Case 5:
Input: myCamelCaseString
Expected Output: my_camel_case_string"
7,"Suppose that a machine sells bottles of Coca-Cola (Coke) for 50 cents and only accepts coins in these denominations: 25 cents, 10 cents, and 5 cents.

Implement a program that prompts the user to insert a coin, one at a time, each time informing the user of the amount due. Once the user has inputted at least 50 cents, output how many cents in change the user is owed. Assume that the user will only input integers, and ignore any integer that isn’t an accepted denomination.","Test Case 1:
Input: 25, 25
Expected Output: ""0 cents owed.""

Test Case 2:
Input: 10, 10, 10, 10, 10, 10
Expected Output: ""10 cents owed.""

Test Case 3:
Input: 25, 25, 10
Expected Output: ""10 cents owed.""

Test Case 4:
Input: 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5
Expected Output: ""5 cents owed.""

Test Case 5:
Input: 50
Expected Output: ""0 cents owed."""
8,"When texting or tweeting, it’s not uncommon to shorten words to save time or space, as by omitting vowels, much like Twitter was originally called twttr. Implement a program that prompts the user for a str of text and then outputs that same text but with all vowels (A, E, I, O, and U) omitted, whether inputted in uppercase or lowercase.","Test Case 1:
Input: ""Hello, world!""
Expected Output: ""Hll, wrld!""

Test Case 2:
Input: ""OpenAI is the best!""
Expected Output: ""OpnAI s th bst!""

Test Case 3:
Input: ""I love to code in Python.""
Expected Output: "" lv t cd n Pythn.""

Test Case 4:
Input: ""A quick brown fox jumps over the lazy dog.""
Expected Output: "" qck brwn fx jmps vr th lzy dg.""

Test Case 5:
Input: ""AEIOU are vowels. aeiou are also vowels.""
Expected Output: ""R vwls. r ls vwls."""
9,"In Massachusetts, home to Harvard University, it’s possible to request a vanity license plate for your car, with your choice of letters and numbers instead of random ones. Among the requirements, though, are:

“All vanity plates must start with at least two letters.”
“… vanity plates may contain a maximum of 6 characters (letters or numbers) and a minimum of 2 characters.”
“Numbers cannot be used in the middle of a plate; they must come at the end. For example, AAA222 would be an acceptable … vanity plate; AAA22A would not be acceptable. The first number used cannot be a ‘0’.”
“No periods, spaces, or punctuation marks are allowed.”
Implement a program that prompts the user for a vanity plate and then output Valid if meets all of the requirements or Invalid if it does not. Assume that any letters in the user’s input will be uppercase. Structure your program per the below, wherein is_valid returns True if s meets all requirements and False if it does not. Assume that s will be a str. You’re welcome to implement additional functions for is_valid to call (e.g., one function per requirement).","Test Case 1:
Input: ""AB1234""
Expected Output: ""Valid""

Test Case 2:
Input: ""1AB234""
Expected Output: ""Invalid""

Test Case 3:
Input: ""AA""
Expected Output: ""Valid""

Test Case 4:
Input: ""A1B234""
Expected Output: ""Invalid""

Test Case 5:
Input: ""ABCDEFG""
Expected Output: ""Invalid"""
10,"The U.S. Food & Drug Adminstration (FDA) offers downloadable/printable posters that “show nutrition information for the 20 most frequently consumed raw fruits … in the United States. Retail stores are welcome to download the posters, print, display and/or distribute them to consumers in close proximity to the relevant foods in the stores.”

Implement a program that prompts consumers users to input a fruit (case-insensitively) and then outputs the number of calories in one portion of that fruit, per the FDA’s poster for fruits, which is also available as text. Capitalization aside, assume that users will input fruits exactly as written in the poster (e.g., strawberries, not strawberry). Ignore any input that isn’t a fruit.","Test Case 1:
Input: ""Apple""
Expected Output: ""130 calories""

Test Case 2:
Input: ""Banana""
Expected Output: ""110 calories""

Test Case 3:
Input: ""Strawberries""
Expected Output: ""50 calories""

Test Case 4:
Input: ""Pineapple""
Expected Output: ""50 calories""

Test Case 5:
Input: ""Grapes""
Expected Output: ""90 calories"""
