#,Difficulty,Platform,Problem Name,Prompt,Test Cases,gpt3.5-turbo,gpt3.5-turbo label,gpt3.5-turbo error,falcon-7b,falcon-7b label,falcon-7b error,llama-2-7b,llama-2-7b label,llama-2-7b error,mpt-7b,mpt-7b label,mpt-7b error,codellama,codellama label,codellama error,StarCoder,Starcoder label,StarCoder error,WizardCoder,WizardCoder label,WizardCoder error,Mistral,Mistral label,Mistral error
1.0,Easy,Python Principles,Capital indexes,"Write a function named capital_indexes. The function takes a single parameter, which is a string. Your function should return a list of all the indexes in the string that have capital letters.","Test Case 1:
Input: ""Hello World""
Output: [0, 6]

Test Case 2:
Input: ""wElcOmE To ChatGPT""
Output: [1, 4, 7, 9, 14]

Test Case 3:
Input: ""allsmallletters""
Output: []

Test Case 4:
Input: ""CAPSLOCKON""
Output: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]

Test Case 5:
Input: ""First, Second, Third.""
Output: [0, 7, 15]","def capital_indexes(string):
  index_list = []
  for i in range(len(string)):
    if string[i].isupper():
      index_list.append(i)
  return index_list",4.0,None,"from string import capitalize

def capital_indexes(string):
    capital_indexes = []
    for i in range(len(string)):
        capital_indexes.append(((i+1)%len(string) + 1) %len(capital_indexes) + 1) %len(string) - (i+1)), string[i])
    return capital_indexes

str = input(""Enter a string: "")
print(capital_indexes(str))
",1.0,Syntax Error,"def capital_indexes(str):
    # Initialize an empty list to store the indices of capital letters
    capitals = []
    
    # Iterate over each character in the input string
    for char in str:
        # Check if the current character is a capital letter
        if char.isupper():
            # Add the index of the capital letter to the list
            capitals.append(str.index(char))
    
    # Return the list of indices of all capital letters found in the string
    return capitals",4.0,None,"def capital_indexes(word):
    return [i for i, j in enumerate(word) if capstart(j)]
",1.0,Name Error,"
def capital_indexes(s):
    return [i for i, c in enumerate(s) if c.isupper()]
",4.0,,"
def capital_indexes(s):
    return [i for i, c in enumerate(s) if c.isupper()]
",4.0,,"
def capital_indexes(s):
    # Your code here
    pass
",2.0,,"
def capital_indexes(string):
    capital_indexes = []
    for i in range(len(string)):
        if string[i].isupper():
            capital_indexes.append(i)
    return capital_indexes
",4.0,
2.0,Easy,Python Principles,Middle letter,"Write a function named mid that takes a string as its parameter. Your function should extract and return the middle letter. If the length of the string is even, you should return the middle two letters.","Test Case 1:
Input: ""hello""
Output: ""l""

Test Case 2:
Input: ""abcdef""
Output: ""cd""

Test Case 3:
Input: ""a""
Output: ""a""

Test Case 4:
Input: ""ChatGPT""
Output: ""tG""

Test Case 5:
Input: ""programming""
Output: ""g""","def mid(string):
  mid_index = int(len(string) / 2)
  if len(string) % 2 == 0:
    return string[mid_index - 1:mid_index + 1]
  else:
    return string[mid_index]",4.0,None,"def mid(s):
    mid1, mid2 = len(s) // 2, mid1
    if len(s) % 2 == 0:
        return s[:mid1] + s[mid2:]
    else:
        return s[mid1-1] + s[mid2+1:]",2.0,UnboundLocalError,"def mid(string):
    if len(string) % 2 == 0:
        return string[len/2-1], string[len/2]
    else:
        return string[len/2]
",2.0,TypeError,"def main():
 
    s = 'hello there'
    c = s.count(' ')
    s1 = s.replace('\n', '')
 
    if c == 0:
        print(s1)
 
    else:
        i = c/2
        s2 = s[",1.0,Syntax Error,"
def mid(s):
    return s[len(s)//2]
",3.0,,"
def mid(s):
    return s[len(s)//2]
",3.0,,"
def mid(string):
    # Your code here
    pass
",2.0,,"
def mid(s):
    if len(s) % 2 == 0:
        return s[len(s) // 2 - 1] + s[len(s) // 2]
    else:
        return s[len(s) // 2]
",4.0,
3.0,Easy,Python Principles,Online status,"The aim of this challenge is, given a dictionary of people's online status, to count the number of people who are online.","Test Case 1:
Input: {""Alice"": ""online"", ""Bob"": ""offline"", ""Charlie"": ""online"", ""David"": ""offline""}
Output: 2

Test Case 2:
Input: {""Eva"": ""online"", ""Frank"": ""online"", ""Grace"": ""online""}
Output: 3

Test Case 3:
Input: {""Henry"": ""offline"", ""Isabelle"": ""offline"", ""Jack"": ""offline""}
Output: 0

Test Case 4:
Input: {}
Output: 0

Test Case 5:
Input: {""Katie"": ""online"", ""Liam"": ""offline"", ""Mia"": ""online"", ""Nina"": ""offline"", ""Oscar"": ""online"", ""Paul"": ""online""}
Output: 4","# Initializing the counter
online_count = 0

# Iterating through the dictionary to count the number of people who are online
for status in people_status.values():
  if status == ""online"":
    online_count += 1

# Printing the result
print(""Number of people online:"", online_count)",1.0,Name Error,"
   `import requests`
   
   `response = requests.get('http://statustool.com/online_counter/')`
   
   `people = json.load(response.content)`
   
   `count = len(people)`
   
   `print(f""Number of online people: {count}"")`
",1.0,Syntax Error,"# Initialize an empty list to store the counts
counts = []

# Iterate over the dictionary values and count the number of people who are online
for key, value in dict.items():
    if ""online"" in value.lower():
        counts.append(1)
    else:
        counts.append(0)

# Summarize the list of counts to get the total number of people who are online
total_count = sum(counts)
",1.0,TypeError,"dynamical_dictionary[x][y]

dynamical_dictionary['A'] = {'online' : ['2018-02-27','...'], 'offline' : ['2019-01-01',...], 'not_online': ['2018-01-01']} 
",1.0,Name Error,"

def count_online(people):
    # Your code here

",1.0,IndentationError: expected an indented block,,0.0,,"
online_status = {
    ""Alice"": ""online"",
    ""Bob"": ""offline"",
    ""Charlie"": ""online"",
    ""David"": ""online"",
    ""Eve"": ""offline"",
    ""Frank"": ""online"",
    ""Grace"": ""offline"",
    ""Henry"": ""online"",
    ""Ivy"": ""online"",
    ""Jack"": ""offline""
}
",2.0,,"
def count_online(people):
    count = 0
    for person in people:
        if person['online']:
            count += 1
    return count
",4.0,
4.0,Easy,Python Principles,Randomness,"Define a function, random_number, that takes no parameters. The function must generate a random integer between 1 and 100.","Test Case 1:
Input:
Output: (Any number between 1 and 100, e.g., 57)

Test Case 2:
Input:
Output: (Any number between 1 and 100, e.g., 23)

Test Case 3:
Input:
Output: (Any number between 1 and 100, e.g., 89)

Test Case 4:
Input:
Output: (Any number between 1 and 100, e.g., 1)

Test Case 5:
Input:
Output: (Any number between 1 and 100, e.g., 100)

","import random

def random_number():
  return random.randint(1,100)",4.0,None,"def random_number():
    return random.randint(1, 100)
",4.0,None,"import random

def random_number():
    return random.randint(1, 100)
",4.0,None,"def random_number():
    return random.randint(1,100)

print(random_number())

",4.0,None,"
def random_number():
    return random.randint(1, 100)
",1.0,NameError: name 'random' is not defined,"
def random_number():
    import random
    return random.randint(1,100)
",4.0,,"
def random_number():
    import random
    return random.randint(1, 100)
",4.0,,"
def random_number():
    import random
    return random.randint(1, 100)
",4.0,
5.0,Easy,Python Principles,Type check,"Write a function named only_ints that takes two parameters. Your function should return True if both parameters are integers, and False otherwise.","Test Case 1:
Input: (5, 10)
Output: True

Test Case 2:
Input: (5, ""10"")
Output: False

Test Case 3:
Input: (""Hello"", ""World"")
Output: False

Test Case 4:
Input: (7.5, 10)
Output: False

Test Case 5:
Input: (-5, 0)
Output: True","def only_ints(x, y):
  if type(x) == int and type(y) == int:
    return True
  else:
    return False",4.0,None,"def only_ints(a, b):
    if isinstance(a, int) and isinstance(b, int):
        return True
    else:
        return False
",4.0,None,"def only_ints(a, b):
    try:
        a = int(a)
        b = int(b)
    except ValueError:
        return False
    else:
        return True
",4.0,None,"def f(x,y):
	return int(x) - int(y)
	if x==y:
		return True
	else:
		return False
",4.0,None,"
def only_ints(a, b):
    return isinstance(a, int) and isinstance(b, int)
",4.0,,"
def only_ints(a, b):
    if type(a) == int and type(b) == int:
        return True
    else:
        return False
",4.0,,"
def only_ints(a, b):
    if isinstance(a, int) and isinstance(b, int):
        return True
    else:
        return False
",4.0,,"
def only_ints(a, b):
    if type(a) == int and type(b) == int:
        return True
    else:
        return False
",4.0,
6.0,Easy,Python Principles,Adding and removing dots,"Write a function named add_dots that takes a string and adds ""."" in between each letter. For example, calling add_dots(""test"") should return the string ""t.e.s.t"". Then, below the add_dots function, write another function named remove_dots that removes all dots from a string.","For the add_dots function:

Test Case 1:
Input: ""test""
Output: ""t.e.s.t""

Test Case 2:
Input: ""hello""
Output: ""h.e.l.l.o""

Test Case 3:
Input: ""a""
Output: ""a""

Test Case 4:
Input: ""ab""
Output: ""a.b""

Test Case 5:
Input: ""dot""
Output: ""d.o.t""

For the remove_dots function:

Test Case 1:
Input: ""t.e.s.t""
Output: ""test""

Test Case 2:
Input: ""h.e.l.l.o""
Output: ""hello""

Test Case 3:
Input: ""a""
Output: ""a""

Test Case 4:
Input: ""..a.b..""
Output: ""ab""

Test Case 5:
Input: ""n.o.d.o.t.s""
Output: ""nodots""","def add_dots(string):
  new_string = """"
  for letter in string:
    new_string += letter + "".""
  return new_string

def remove_dots(string):
  new_string = """"
  for letter in string:
    if letter != ""."":
      new_string += letter
  return new_string",4.0,None,"def add_dots(str):
    dots = ''
    for char in str:
        if char == '.':
            dots += char
    return dots


def remove_dots(str):
    dots = ''
    for char in str:
        if char == '.':
            dots += char
    # remove dots from string
    return dots


str1 = 'test'
str2 = remove_dots(str1)
print(str2)
",2.0,None,"# Add dots to a given string
def add_dots(str):
    return ""."".join([letter for letter in str])

# Remove all dots from a given string
def remove_dots(str):
    return """".join(char for char in str if char != '.')
",4.0,None,"def add_dots(text):
    for letter in text:
        yield letter
    for letter in text:
        yield "".""
    for letter in text:
        yield """"

for i in add_dots(""test""):
    print(i)
for i in remove_dots(""t.e.s.t""):
    print(i)

string_object = '{%s} is the first arg'
format_string = string_object.format(1)
print(format_string)
format_string = '1 is the first arg'
print(format_string)",2.0,Key Error,"
def add_dots(s):
    return

def remove_dots(s):
    return

print(add_dots(""test""))
print(remove_dots(""t.e.s.t""))
",2.0,,"
def add_dots(str):
    return '.'.join(str)

def remove_dots(str):
    return str.replace('.','')
",4.0,,"
def add_dots(s):
    return ""."".join(s)

def remove_dots(s):
    return s.replace(""."", """")
",4.0,,"
def add_dots(string):
    return ""."".join(string)

def remove_dots(string):
    return string.replace(""."", """")
",4.0,
7.0,Easy,Python Principles,Consecutive zeros,The goal of this challenge is to analyze a binary string consisting of only zeros and ones. Your code should find the biggest number of consecutive zeros in the string.,"Test Case 1:
Input: ""10000101111000""
Output: 4

Test Case 2:
Input: ""11001110001111""
Output: 3

Test Case 3:
Input: ""1111111""
Output: 0

Test Case 4:
Input: ""10000001""
Output: 6

Test Case 5:
Input: ""00110001001100010000""
Output: 5","# define the string
binary_string = '01011110101010001010100001101'

# set maximum consecutive zeros to 0
max_consecutive_zeros = 0

# set current consecutive zeros to 0
current_consecutive_zeros = 0

# loop through each character in the string
for char in binary_string:
  # if the character is a zero, add 1 to the current consecutive zeros
  if char == '0':
    current_consecutive_zeros += 1
  # if the character is a one, check if the current consecutive zeros is greater than the maximum consecutive zeros
  # if it is, set the maximum consecutive zeros to the current consecutive zeros
  else:
    if current_consecutive_zeros > max_consecutive_zeros:
      max_consecutive_zeros = current_consecutive_zeros
    # reset the current consecutive zeros to 0
    current_consecutive_zeros = 0

# check if the current consecutive zeros is greater than the maximum consecutive zeros
# if it is, set the maximum consecutive zeros to the current consecutive zeros
if current_consecutive_zeros > max_consecutive_zeros:
  max_consecutive_zeros = current_consecutive_zeros

# print the maximum consecutive zeros
print(max_consecutive_zeros)",4.0,None,"class Solution:
    def count_consecutive_zeros(self, str):
        biggest_zero = 0
        count = 0
        for i in range(1, len(str)):
            if str[i] == 0:
                count += 1
                biggest_zero = max(biggest_zero, count)
        return biggest_zero
",2.0,None,"def analyze_binary(bin_str):
    max_run = 0
    for i in range(len(bin_str)):
        if bin_str[i] == '0':
            max_run += 1
            while max_run > 0 and bin_str[max_run] != '0':
                max_run -= 1
    return max_run
",4.0,None,"def find_zero_consec_len(num: int):
    zeroes = []

    while num:
        if num & 1 == 1:
            if len(zeroes) == 0:
                zeroes.append(num)
            else:
                break

        num >>= 1
        zeroes.append(num)

    return len(zeroes)
",2.0,Type Error,"
def max_consecutive_zeros(binary_string):
    # Fill this in.

print max_consecutive_zeros('11000000')
# 1

print max_consecutive_zeros('111100000000')
# 3

print max_consecutive_zeros('11111111')
# 0
",1.0,IndentationError: expected an indented block,,0.0,,,0.0,,"

def solution(s):
    # write your code in Python 3.6
    count = 0
    for i in range(len(s)):
        if s[i] == '0':
            count += 1
        else:
            count = 0
        if count > max_count:
            max_count = count
    return max_count

",4.0,
8.0,Easy,Python Principles,Longest word,"Write a function called longest_word that takes one argument, a list of words, and returns the length of the longest word in the list.","Test Case 1:
Input: [""apple"", ""banana"", ""cherry""]
Output: 6

Test Case 2:
Input: [""a"", ""ab"", ""abc"", ""abcd""]
Output: 4

Test Case 3:
Input: [""short"", ""longer"", ""longest""]
Output: 7

Test Case 4:
Input: [""one"", ""two"", ""three"", ""four"", ""five""]
Output: 5

Test Case 5:
Input: [""hippopotamus"", ""cat"", ""horse""]
Output: 12","def longest_word(words):
    longest = 0
    for word in words:
        if len(word) > longest:
            longest = len(word)
    return longest",4.0,None,"def longest_word(words): 
  longest_word = """" 
  for word in words: 
    if len(word) > len(longest_word): 
      longest_word = word 
    elif len(word) == len(longest_word): 
      longest_word = word 
  
    print(longest_word) 
    return len(longest_word)
",3.0,None,"def longest_word(words):
    return max([len for words in words])

def longest_word(words):
    return max([word_length(w) for words in words])

def longest_word(words):
    return max([max(len(w), 0) for words in words])
",2.0,Name Error,">>> longest_word(['foo', 'ba', 'joe', 'bar'])
from functools import reduce

def long_str(L):
    return reduce(max, map(len, map(str, L)))

>>> long_str(['foo', 'ba', 'joe', 'bar'])
5
>>> long_str(['foo', 'bar', 'hello', 'world', 'abc', 'xyz'])
12
from itertools import izip, ienumerate
from operator import mul

def long_str(L):
    l = str(L)
    l_len = l.__len__()
    s = map(mul(l_len, len), ienumerate(l))
    return max(s, key=(lambda x: x[0]))
def longest_word(L):
    l = str(L)
    l_len = l.__len__()
    s = map(mul(l_len, len), ienumerate(l))
    return max(s, key=(lambda x: x[0]))

>>> longest_word(['foo', 'bob', 'joe'])

def long_str(L):
    l = str(L)
    l_len = l.__len__()
    s = map(map(len, l), (enumerate(l))  # return tuple -> tuple(int,int)
             )
    return max(s, key=(lambda x: x[0]))

>>> long_str('foo', 'bar','hello','world')
5
def longest_word(L):
    l = tuple(L)
    l_len = len(l)
    s = map(mul(l_len, len), (enumerate(l))  # return tuple -> tuple(int,int)
             )
    return max(s, key=(lambda x: x[0]))
def longest_word(L):
  longest = -1
  for word in L:
    if len(word) > longest:
      longest = len(word)
  return longest


L = ['my long word', 'this is my', 'this one too']
print(longest_word(L))
from functools import reduce

def long_str(L):
    return reduce(lambda a, b: max(a, b), map(len, map(",1.0,Syntax Error,"
def longest_word(words):
    # Your code here
    return 0
",2.0,,"
def longest_word(words):
    longest = 0
    for word in words:
        if len(word) > longest:
            longest = len(word)
    return longest
",4.0,,"
def longest_word(words):
    max_length = 0
    for word in words:
        if len(word) > max_length:
            max_length = len(word)
    return max_length
",4.0,,"
def longest_word(words):
    longest_word = 0
    for word in words:
        if len(word) > longest_word:
            longest_word = len(word)
    return longest_word
",4.0,
9.0,Easy,Python Principles,Counting country IDs,Write a function that counts how many different countries are represented in a list of country IDs.,"Test Case 1:
Input: [""US"", ""CA"", ""US"", ""MX"", ""CA""]
Output: 3

Test Case 2:
Input: [""FR"", ""FR"", ""FR"", ""FR""]
Output: 1

Test Case 3:
Input: [""JP"", ""CN"", ""AU"", ""NZ"", ""IN"", ""SA"", ""ZA""]
Output: 7

Test Case 4:
Input: []
Output: 0

Test Case 5:
Input: [""BR"", ""AR"", ""VE"", ""CO"", ""PE"", ""BR"", ""AR""]
Output: 5","def count_countries(country_ids):
    countries = set(country_ids)
    return len(countries)",4.0,None,"def count_countries(country_ids):
    count = 0
    for i in range(len(country_ids)):
        if country_ids[i] in set(('UK', 'USA', 'France', 'Germany', etc)):
            count += 1
    return count",2.0,Name Error,"def count_different_countries(country_ids):
    # Initialize a dictionary to keep track of the number of countries represented
    country_dict = {}
    for id in country_ids:
        if id.isdigit():
            # If the ID is a digit, it's not a country
            continue
        else:
            # Otherwise, add 1 to the count of unique countries
            country_dict[id] = (country_dict.get(id, 0) + 1)
    return len(set(country_dict.values()))
",4.0,None,"def strip_char(data, char):
    """"""
    returns a string without the given character
    """"""
    result = """"
    for c in data:
        if c!= char:
            result += c

    return result


def sort_alphabetically(data):
    """"""
    returns a sorted list of characters in
    lowercase, without '-' character
    """"""
    country_codes  =[]
    for cc in data:
        c = cc.replace(""-"","""")
        country_codes.append(c.lower())

    return country_codes







Given the following input


```python

country_ids         = [
    ""AFG"", 
    ""ALB"", 
    ""DZA"", 
    ""LBR"", 
    ""IRQ"", 
    ""LBN"", 
    ""LBY"", 
    ""LUX"", 
    ""LVA"", 
    ""MOZ"", 
    ""MDA"", 
    ""MNE"", 
    ""MWI"", 
    ""NLD"", 
    ""NGA"", 
    ""OMN"", 
    ""PNG"", 
    ""ROU"", 
    ""SWE"", 
    ""TUN"", 
    ""UKR"", 
    ""VEN"", 
    ""VUT""]
```


we get this output.



```python

convert_country_code(country_ids)

# [
#     {'LUX': 2, 'LVA': 1, 'DZA': 1, 'LBN': 1, 'VUT': 1, 'IRAQ': 1, 'OMN': 1, 
       'MWI': 1,
       'MOZ': 1, 'MNE': 1, 'PNG':",1.0,Syntax Error,"
def get_countries(country_ids):
    # Fill this in.

print(get_countries([1, 2, 1, 3, 4, 3, 5, 5]))
# 4

print(get_countries([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]))
# 10
",1.0,IndentationError: expected an indented block,"
def count_countries(country_ids):
    # Your code here
    return len(set(country_ids))
",4.0,,"
def count_countries(country_ids):
    # Your code here
    pass
",2.0,,"
def count_countries(country_ids):
    # Your code here
    return count
",2.0,
10.0,Easy,Python Principles,Palindrome,"A palindrome is a word that is the same forwards as backwards. If the word is the same backwards as forwards, you should return True. Otherwise, you should return False.","Test Case 1:
Input: ""radar""
Output: True

Test Case 2:
Input: ""apple""
Output: False

Test Case 3:
Input: ""level""
Output: True

Test Case 4:
Input: ""deified""
Output: True

Test Case 5:
Input: ""palindrome""
Output: False","def isPalindrome(word):
  if word == word[::-1]:
    return True
  else:
    return False",4.0,None,"def is_palindrome(word):
    reverse_word = word[::-1]
    return word == reverse_word

palindrome_words = [""reversed"", ""madam""]
for word in palindrome_words:
    if is_palindrome(word):
        print(word)  #'madam'


",4.0,None,"def is_palindrome(word):
    if word == word[::-1]:
        return True
    else:
        return False

# Test the function with some examples
print(is_palindrome(""racecar"")) # True
print(is_palindrome(""hello""))  # False
print(is_palindrome(""level""))   # True
",4.0,None,"def is_palin(string):
    list = string.lower()
    # Check the string is even or odd length by using len function.
    if len(string)%2==0:
        l1=list[0:len(string)/2:len]
        l2=list[len(string)/2+1::len]
    if len(string)%2==1:
        l1=list[len(string)/2+1::len]
        l2=list[0:len(string)/2:len]
    for i in range(len(l1)):
        j=i
        if l2[j]==l1[len(l1)-j-1]:
            continue
        else:
            return False
    else:
        return True---


def is_palin(string):
    list = string.lower()
        # Check the string",1.0,Syntax Error,"
def is_palindrome(word):
    # Your code here
    return
",2.0,,"
def is_palindrome(word):
    if word == word[::-1]:
        return True
    else:
        return False
",4.0,,"def is_palindrome(word):
    # Your code here",1.0,IndentationError: expected an indented block,"
def is_palindrome(word):
    # Your code here
    return True
",2.0,
