Prompt,Answer
"print(float(""2.1""))
What would be the output of the line of code above? Include only what is actually printed to the console.
Pick one option from below:

2

2.1

""2""

""2.1""

True

False

An error message

There will be no output",2.1
"print(int(""2.1""))
What would be the output of the line of code above? Include only what is actually printed to the console.
Pick one option from below:

2

2.1

""2""

""2.1""

True

False

An error message

There will be no output",2
"print(int(""2""))
What would be the output of the line of code above? Include only what is actually printed to the console.
Pick one option from below:
2

2.0

""2""

""2.0""

True

False

An error message

There will be no output",2
"print(str(2.1))
What would be the output of the line of code above? Include only what is actually printed to the console.
Pick one option from below:

2

2.1

""2""

""2.1""

True

False

An error message

There will be no output","""2.1"""
"print(float(""2""))
What would be the output of the line of code above? Include only what is actually printed to the console.
Pick one option from below:

2

2.0

""2""

""2.0""

True

False

An error message

There will be no output",2
"print(bool(""""))
What would be the output of the line of code above? Include only what is actually printed to the console.
Pick one option from below:

1

1.0

""1""

""1.0""

True

False

An error message

There will be no output",FALSE
"print(bool(2))
What would be the output of the line of code above? Include only what is actually printed to the console.
Print one option from below:

2

2.0

""2""

""2.0""

True

False

An error message

There will be no output",TRUE
"print(float(False))
What would be the output of the line of code above? Include only what is actually printed to the console.
Pick one option from below:

0

0.0

""0""

""0.0""

True

False

An error message

There will be no output",0
"not (False and True)
Does the statement above resolve to True or False?

True

False",TRUE
"False or not True
Does the statement above resolve to True or False?

True

False",FALSE
"(True and not False) and False
Does the statement above resolve to True or False?

True

False",FALSE
"(False and True) or (False or True)
Does the statement above resolve to True or False?

True

False",TRUE
"1| if not user_is_invalid and (password_correct or previously_authenticated):  

2|     print(""Login successful!"")  

3| else:  

4|     print(""Login failed!"")  
 
Which of the following values for user_is_invalid, password_correct, and previously_authenticated would result in ""Login successful!"" being printed?  
  
user_is_invalid = True   
password_correct = True   
previously_authenticated = True  
 
  
  
user_is_invalid = True   
password_correct = True   
previously_authenticated = False  
 
  
  
user_is_invalid = True   
password_correct = False  
previously_authenticated = True  
 
  
  
user_is_invalid = True   
password_correct = False  
previously_authenticated = False  
 
  
  
user_is_invalid = False  
password_correct = True   
previously_authenticated = True  
 
  
  
user_is_invalid = False  
password_correct = False  
previously_authenticated = False  
 
  
  
None of the above","user_is_invalid = False  
password_correct = True   
previously_authenticated = True  "
"1| if age > 34 and born_in_the_us:  

2|     print(""You can run for President in the US!"")  

3| if age > 24 and time_since_citizenship > 6:  

4|     print(""You can run for Representative in the US!"")  

5| if age > 29 and time_since_citizenship > 8:  

6|     print(""You can run for Senator in the US!"")  
 
 Which of the following values for age, born_in_the_us, and time_since_citizenship would result in ""You can run for Representative in the US!"" being printed, but nothing else? 
  
age = 23  
born_in_the_us = False  
time_since_citizenship = 2  
 
  
  
age = 23  
born_in_the_us = False  
time_since_citizenship = 8  
 
  
  
age = 31  
born_in_the_us = False  
time_since_citizenship = 5  
 
  
  
age = 40  
born_in_the_us = True  
time_since_citizenship = 40  
 
  
  
age = 48  
born_in_the_us = False  
time_since_citizenship = 9  
 
  
  
age = 23  
born_in_the_us = False  
time_since_citizenship = 8  
 
  
  
None of the above  ","age = 52
born_in_the_us = False
time_since_citizenship = 7"
"1| if cash_on_hand < 20 and (atm_nearby or cashback_nearby):  

2|     print(""Get some cash!"")  

3| else:  

4|     print(""Go home!"")  
 
 Which of the following values for atm_nearby, cashback_nearby, and cash_on_hand would result in both ""Get some cash!"" and ""Go home!"" being printed? 
  
atm_nearby = True   
cashback_nearby = True   
cash_on_hand = 15  
 
  
  
atm_nearby = True   
cashback_nearby = True   
cash_on_hand = 20  
 
  
  
atm_nearby = True   
cashback_nearby = True   
cash_on_hand = 25  
 
  
  
atm_nearby = False  
cashback_nearby = True   
cash_on_hand = 15  
 
  
  
atm_nearby = True   
cashback_nearby = False  
cash_on_hand = 20  
 
  
  
atm_nearby = False  
cashback_nearby = False  
cash_on_hand = 25  
 
  
  
None of the above  ",None of the above
"1| if out_of_network and cost > 1000:  

2|     print(""The maximum out-of-network cost is $1000."")  

3| elif not out_of_network and cost > 5000:  

4|     print(""The maximum in-network cost is $5000."")  

5| else:  

6|     print(""Expense approved!"")  
 
Which of the following values for out_of_network and cost would result in ""The maximum out-of-network cost is $1000."" being printed? (There may be more than one right answer. You may select any right answer.)  
  
cost = 500  
out_of_network = False  
 
  
  
cost = 500  
out_of_network = True  
 
  
  
cost = 2500  
out_of_network = False  
 
  
  
cost = 2500  
out_of_network = True  
 
  
  
cost = 5000  
out_of_network = False  
 
  
  
cost = 5000  
out_of_network = True  
 
  
  
cost = 7500  
out_of_network = False  
 
  
  
cost = 7500  
out_of_network = True  
 
  
  
None of the above ","cost = 5000 
out_of_network = True "
